current_speed,current_delay,distance_remaining,historical_delay,previous_station_delay,section_average_speed,weather_factor,congestion_factor,signal_halt_minutes,eta_minutes
80.746,10.736,50.955,19.881,0.0,41.626,1.0,1.0,0.0,85.569
68.009,9.307,37.393,1.093,0.0,41.725,1.0,1.08,2.672,67.799
96.553,22.049,62.565,23.646,3.63,85.379,1.0,1.18,3.51,74.463
89.325,0.0,175.215,0.0,10.256,74.855,1.18,1.08,4.444,185.858
86.934,7.001,42.566,10.163,5.299,42.979,1.0,1.08,3.589,75.1
39.903,15.22,168.725,0.446,0.0,57.354,1.0,1.08,3.693,290.344
114.005,0.317,101.137,0.0,5.704,81.6,1.0,1.0,0.934,76.632
109.576,14.842,58.013,2.506,0.011,96.964,1.35,1.0,2.345,65.151
73.33,16.087,106.056,2.163,8.984,57.078,1.0,0.85,9.834,118.731
79.607,9.406,77.144,14.227,7.286,91.485,1.55,1.0,6.797,110.684
21.091,0.333,123.344,5.549,3.153,86.847,1.0,1.0,1.671,358.011
45.022,2.155,33.8,20.799,0.0,72.538,1.0,1.08,1.598,55.521
92.439,7.668,140.596,6.949,4.465,75.06,1.35,1.18,3.07,194.377
25.503,0.531,170.557,14.925,8.548,97.071,1.0,1.18,2.795,481.897
65.152,15.297,49.18,0.971,6.776,75.737,1.08,1.0,5.16,64.48
81.738,38.222,94.128,11.136,7.95,68.477,1.0,1.08,2.773,123.572
26.744,24.419,42.752,0.0,8.993,81.022,1.08,1.0,3.199,128.767
74.249,25.3,141.662,8.838,1.352,70.724,1.0,1.0,0.311,140.518
89.262,16.271,177.181,11.708,0.0,83.769,1.0,1.0,6.205,144.497
46.462,11.322,166.341,0.0,9.172,56.237,1.0,0.85,6.533,198.823
112.055,13.788,153.068,14.979,6.372,100.214,1.0,1.0,4.67,111.195
94.487,7.276,77.295,32.32,0.0,69.576,1.0,1.08,3.619,88.343
112.027,7.956,98.511,4.255,0.0,77.647,1.18,1.0,1.188,99.162
37.653,7.003,122.188,7.375,8.019,78.677,1.35,1.0,0.0,271.755
59.826,14.199,95.055,4.843,4.066,77.939,1.0,1.08,0.992,115.606
91.427,16.292,83.575,33.642,4.806,44.715,1.0,1.0,2.012,136.515
103.682,18.376,67.776,19.679,2.625,97.153,1.55,1.08,0.0,94.568
48.441,8.906,169.13,9.633,7.22,83.12,1.0,1.0,2.08,223.375
88.173,6.984,114.894,16.228,14.615,53.234,1.0,1.0,0.115,140.473
93.256,8.831,48.628,6.442,0.0,81.412,1.0,0.85,6.408,45.734
105.873,3.082,150.558,4.756,8.586,75.463,1.35,1.18,4.036,206.109
39.957,0.0,20.297,10.124,0.0,56.219,1.0,1.08,5.443,44.327
102.138,9.647,146.317,5.785,4.545,103.453,1.35,1.18,0.71,152.462
45.347,0.0,21.241,17.988,0.0,91.179,1.0,1.18,0.861,39.262
95.558,11.12,6.212,13.686,15.311,54.794,1.0,1.08,0.0,17.362
70.94,24.611,22.531,11.931,4.304,101.05,1.55,1.0,4.325,58.753
89.212,0.0,109.905,6.434,0.922,60.389,1.08,0.85,1.569,105.731
88.346,2.395,121.372,4.996,6.722,88.227,1.08,1.0,0.831,97.757
88.377,0.0,57.053,11.419,4.114,59.521,1.0,1.35,3.951,85.989
78.474,0.0,99.533,13.579,5.013,59.562,1.0,1.0,1.113,103.262
62.005,22.503,86.227,0.0,6.221,53.891,1.0,1.08,3.391,122.768
91.358,23.889,41.986,7.559,6.267,83.732,1.0,1.0,3.002,51.504
59.372,4.138,36.609,0.0,5.331,80.935,1.0,1.08,5.792,50.562
60.389,3.29,172.518,4.448,4.783,51.433,1.0,1.18,0.0,244.065
83.42,28.043,107.991,1.794,0.0,104.213,1.0,1.18,0.4,109.399
90.647,1.68,48.136,7.198,13.548,70.854,1.08,1.0,1.267,50.238
27.361,2.713,50.365,16.031,7.808,58.572,1.08,1.08,3.799,142.046
71.548,12.018,38.817,0.0,11.259,67.025,1.0,1.08,4.909,51.404
56.136,8.428,64.613,0.0,10.987,40.383,1.08,1.0,1.839,113.214
40.845,3.735,7.166,0.786,12.754,68.329,1.0,1.0,1.374,17.58
79.114,5.845,72.136,6.262,2.978,41.753,1.0,0.85,1.422,94.39
51.05,12.749,69.484,7.191,0.0,89.48,1.0,0.85,5.069,84.721
114.991,10.832,117.726,0.0,5.39,62.747,1.0,0.85,0.0,104.775
83.599,12.248,40.798,2.737,0.0,76.658,1.0,1.08,2.566,45.706
97.834,16.535,21.242,8.111,0.0,102.707,1.0,1.08,0.0,29.942
79.588,15.039,139.502,13.385,0.0,46.624,1.0,1.35,3.264,259.781
